 869 function calls in 33.408 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 :0(BoxSizer_swiginit)
        3    0.000    0.000    0.000    0.000 :0(Button_swiginit)
        1    0.000    0.000    0.000    0.000 :0(Event_GetEventObject)
        2    0.000    0.000    0.000    0.000 :0(Event_Skip)
        6    0.000    0.000    0.000    0.000 :0(EvtHandler_Connect)
       18    0.000    0.000    0.000    0.000 :0(EvtHandler__setOORInfo)
        3    0.000    0.000    0.000    0.000 :0(Font_swiginit)
        1    0.001    0.001    0.001    0.001 :0(Frame_CreateStatusBar)
        1    0.000    0.000    0.000    0.000 :0(Frame_SetMenuBar)
        1    0.000    0.000    0.000    0.000 :0(Frame_swiginit)
        1    0.000    0.000    0.000    0.000 :0(Icon_swiginit)
        2    0.000    0.000    0.000    0.000 :0(MenuBar_Append)
        1    0.000    0.000    0.000    0.000 :0(MenuBar_swiginit)
        2    0.000    0.000    0.000    0.000 :0(MenuItem_GetId)
        2    0.000    0.000    0.000    0.000 :0(MenuItem_swiginit)
        2    0.000    0.000    0.000    0.000 :0(Menu_AppendItem)
        2    0.000    0.000    0.000    0.000 :0(Menu_swiginit)
        1    0.000    0.000    0.000    0.000 :0(PyApp_IsDisplayAvailable)
        1   14.785   14.785   33.293   33.293 :0(PyApp_MainLoop)
        1    0.000    0.000    0.000    0.000 :0(PyApp_SetTopWindow)
        1    0.000    0.000    0.000    0.000 :0(PyApp_SetUseBestVisual)
        1    0.000    0.000    0.000    0.000 :0(PyApp__BootstrapApp)
        1    0.000    0.000    0.000    0.000 :0(PyApp__setCallbackInfo)
        1    0.000    0.000    0.000    0.000 :0(PyApp_swiginit)
        1    0.000    0.000    0.000    0.000 :0(RadioBox_GetSelection)
        1    0.000    0.000    0.000    0.000 :0(RadioBox_SetSelection)
        1    0.000    0.000    0.000    0.000 :0(RadioBox_swiginit)
       23    0.000    0.000    0.000    0.000 :0(Sizer_Add)
       11    0.000    0.000    0.000    0.000 :0(Sizer__setOORInfo)
        1    0.000    0.000    0.000    0.000 :0(StandardPaths_Get)
        1    0.000    0.000    0.000    0.000 :0(StandardPaths_SetInstallPrefix)
        5    0.000    0.000    0.000    0.000 :0(StaticText_swiginit)
        1    0.000    0.000    0.000    0.000 :0(StatusBar_SetStatusText)
        1    0.000    0.000    0.000    0.000 :0(StatusBar_SetStatusWidths)
       10    0.000    0.000    0.000    0.000 :0(StockGDI_GetBrush)
        7    0.000    0.000    0.000    0.000 :0(StockGDI_GetColour)
        3    0.000    0.000    0.000    0.000 :0(StockGDI_GetCursor)
        4    0.000    0.000    0.000    0.000 :0(StockGDI_GetFont)
       10    0.000    0.000    0.000    0.000 :0(StockGDI_GetPen)
        4    0.000    0.000    0.000    0.000 :0(StockGDI_instance)
        1    0.000    0.000    0.000    0.000 :0(SystemOptions_SetOptionInt)
        1    0.000    0.000    0.000    0.000 :0(SystemSettings_GetColour)
       10    0.008    0.001    0.008    0.001 :0(TextCtrl_AppendText)
